character,round,action_folder,frame_ids,frame_count
Alien Meow,ROUND_1,01_待機_天線掃描呼吸,11.webp;12.webp;13.webp,3
Alien Meow,ROUND_1,02_前走,14.webp;15.webp;16.webp,3
Alien Meow,ROUND_1,03_後走,17.webp;18.webp;19.webp,3
Alien Meow,ROUND_1,04_蹲下,21.webp,1
Alien Meow,ROUND_1,05_跳躍預備,22.webp,1
Alien Meow,ROUND_1,06_起跳,23.webp,1
Alien Meow,ROUND_1,07_空中上升_頂點,24.webp,1
Alien Meow,ROUND_1,08_下降,25.webp,1
Alien Meow,ROUND_1,09_落地,26.webp,1
Alien Meow,ROUND_1,10_前衝蓄勢,31.webp,1
Alien Meow,ROUND_1,11_前衝爆發,32.webp,1
Alien Meow,ROUND_1,12_前衝煞停,33.webp,1
Alien Meow,ROUND_1,13_後撤起手,34.webp,1
Alien Meow,ROUND_1,14_後撤空中,35.webp,1
Alien Meow,ROUND_1,15_後撤落地,36.webp,1
Alien Meow,ROUND_1,16_輕攻「訊號校正」,41.webp;42.webp;43.webp;44.webp;45.webp;46.webp,6
Alien Meow,ROUND_1,17_重攻「水平掃描」,51.webp;52.webp;53.webp;54.webp;55.webp;56.webp,6
Alien Meow,ROUND_1,18_下段「地表斷訊脈衝」,61.webp;62.webp;63.webp;64.webp;65.webp;66.webp,6
Alien Meow,ROUND_1,19_空中攻擊「空域掃描墜擊」,71.webp;72.webp;73.webp;74.webp;75.webp;76.webp,6
Alien Meow,ROUND_1,20_站防「訊號屏障」,81.webp,1
Alien Meow,ROUND_1,21_站防硬直,82.webp,1
Alien Meow,ROUND_1,22_站防恢復,83.webp,1
Alien Meow,ROUND_1,23_蹲防「訊號屏障」,84.webp,1
Alien Meow,ROUND_1,24_蹲防硬直,85.webp,1
Alien Meow,ROUND_1,25_蹲防恢復,86.webp,1
Alien Meow,ROUND_1,26_上段受擊,87.webp,1
Alien Meow,ROUND_1,27_中段受擊,88.webp,1
Alien Meow,ROUND_1,28_下段受擊,89.webp,1
Alien Meow,ROUND_1,29_輕攻天線命中火花,91.webp,1
Alien Meow,ROUND_1,30_輕攻_Pushback_特效,92.webp,1
Alien Meow,ROUND_1,31_重攻掃描發射閘,93.webp,1
Alien Meow,ROUND_1,32_「水平掃描」主掃描波,94.webp,1
Alien Meow,ROUND_1,33_重攻命中爆訊號,95.webp,1
Alien Meow,ROUND_1,34_「地表斷訊脈衝」地面波,96.webp,1
Alien Meow,ROUND_1,35_地面波_Counter_Hit_推退特效,97.webp,1
Alien Meow,ROUND_1,36_空域掃描前向扇形波,98.webp,1
Alien Meow,ROUND_1,37_空域掃描斜下扇形波,99.webp,1
Alien Meow,ROUND_2,01_投技「UFO_回收程序」,11.webp;12.webp;13.webp;14.webp;15.webp;16.webp,6
Alien Meow,ROUND_2,02_被抓反應,21.webp,1
Alien Meow,ROUND_2,03_被摔飛,22.webp,1
Alien Meow,ROUND_2,04_倒地撞擊,23.webp,1
Alien Meow,ROUND_2,05_倒地_Hold,24.webp,1
Alien Meow,ROUND_2,06_起身開始,25.webp,1
Alien Meow,ROUND_2,07_低姿起身,26.webp,1
Alien Meow,ROUND_2,08_完全起身,27.webp,1
Alien Meow,ROUND_2,09_KO_倒下,28.webp,1
Alien Meow,ROUND_2,10_KO_Hold,29.webp,1
Alien Meow,ROUND_2,11_開始蓄力,31.webp,1
Alien Meow,ROUND_2,12_蓄力維持,32.webp,1
Alien Meow,ROUND_2,13_高蓄力,33.webp,1
Alien Meow,ROUND_2,14_掃描波釋放,34.webp,1
Alien Meow,ROUND_2,15_發射後座,35.webp,1
Alien Meow,ROUND_2,16_收招,36.webp,1
Alien Meow,ROUND_2,17_Lv1「局部掃描」,41.webp;42.webp;43.webp,3
Alien Meow,ROUND_2,18_Lv2「廣域掃描」,44.webp;45.webp;46.webp,3
Alien Meow,ROUND_2,19_Lv3「全頻率斷訊」,47.webp;48.webp,2
Alien Meow,ROUND_2,20_Signal_Mark,49.webp,1
Alien Meow,ROUND_2,21_UFO_進場,51.webp,1
Alien Meow,ROUND_2,22_Tractor_Beam_鎖定,52.webp,1
Alien Meow,ROUND_2,23_把對手吸起,53.webp,1
Alien Meow,ROUND_2,24_UFO_往另一側移動,54.webp,1
Alien Meow,ROUND_2,25_後方釋放對手,55.webp,1
Alien Meow,ROUND_2,26_UFO_離場,56.webp,1
Alien Meow,ROUND_2,27_Ultimate_啟動,61.webp,1
Alien Meow,ROUND_2,28_系統啟動_天線升頻,62.webp,1
Alien Meow,ROUND_2,29_初始掃描命令,63.webp,1
Alien Meow,ROUND_2,30_記錄對手當下位置,64.webp,1
Alien Meow,ROUND_2,31_固定座標轟炸命令,65.webp,1
Alien Meow,ROUND_2,32_Alien_恢復戰鬥姿勢,66.webp,1
Alien Meow,ROUND_2,33_初始大範圍掃描,71.webp,1
Alien Meow,ROUND_2,34_Acquisition_掃描,72.webp,1
Alien Meow,ROUND_2,35_記錄位置脈衝,73.webp,1
Alien Meow,ROUND_2,36_Position_Lock_淡色地面圈,74.webp,1
Alien Meow,ROUND_2,37_Position_Lock_啟動,75.webp,1
Alien Meow,ROUND_2,38_Position_Lock_即將轟炸警告,76.webp,1
Alien Meow,ROUND_2,39_Signal_Mark_快速鎖定特效,77.webp,1
Alien Meow,ROUND_2,40_座標鎖定確認,78.webp,1
Alien Meow,ROUND_2,41_Lock_消散,79.webp,1
Alien Meow,ROUND_2,42_轟炸前垂直訊號線,81.webp,1
Alien Meow,ROUND_2,43_能量柱開始下降,82.webp,1
Alien Meow,ROUND_2,44_主能量柱下降,83.webp,1
Alien Meow,ROUND_2,45_地面接觸閃光,84.webp,1
Alien Meow,ROUND_2,46_固定位置轟炸_Active,85.webp,1
Alien Meow,ROUND_2,47_轟炸持續,86.webp,1
Alien Meow,ROUND_2,48_能量柱收縮,87.webp,1
Alien Meow,ROUND_2,49_命中殘留訊號,88.webp,1
Alien Meow,ROUND_2,50_完全消散,89.webp,1
Alien Meow,ROUND_2,51_最終「全頻率收尾_Full-Frequency_Battlefield_Scan_Sweep」,91.webp,1
Doge,ROUND_1,01_Idle,11.webp;12.webp;13.webp,3
Doge,ROUND_1,02_Walk_Forward,14.webp;15.webp;16.webp,3
Doge,ROUND_1,03_Walk_Backward,21.webp;22.webp;23.webp,3
Doge,ROUND_1,04_Crouch,24.webp,1
Doge,ROUND_1,05_Jump,25.webp;26.webp;27.webp;28.webp,4
Doge,ROUND_1,06_Landing,29.webp,1
Doge,ROUND_1,07_Light_Paw_Slap,31.webp;32.webp;33.webp;34.webp;35.webp;36.webp,6
Doge,ROUND_1,08_Heavy_Serious_Punch,41.webp;42.webp;43.webp;44.webp;45.webp;46.webp,6
Doge,ROUND_1,09_Low_Lazy_Trip,51.webp;52.webp;53.webp;54.webp;55.webp;56.webp,6
