character,round,image_number,frame_id,pose_index,action,output_file,source_sha256,crop_source,crop_x,crop_y,crop_w,crop_h,output_sha256,source_replaced,manual_applied
Alien Meow,ROUND_1,1,12,2,待機／天線掃描呼吸,Alien Meow/ROUND_1/01_待機_天線掃描呼吸/12.webp,1dfa32bf56bf62d7b783fdf276b72de05752c7907f94dfb7add11b9c8bf73fcb,detected_or_manifest,256,0,256,256,17501f312eca5010677fa9ebdbe18a8ebdca21340aabd869d6a1d66017473ad1,False,False
Alien Meow,ROUND_1,1,15,5,前走,Alien Meow/ROUND_1/02_前走/15.webp,1dfa32bf56bf62d7b783fdf276b72de05752c7907f94dfb7add11b9c8bf73fcb,manual,256,256,256,256,046d859772d0acd06e4944c372732c97f24ab166329f57e92f9cf54fa6d5d95e,False,True
Alien Meow,ROUND_1,1,16,6,前走,Alien Meow/ROUND_1/02_前走/16.webp,1dfa32bf56bf62d7b783fdf276b72de05752c7907f94dfb7add11b9c8bf73fcb,manual,512,256,256,227,d21f0942db449ab2f54d6cc9ef5245d585d9532b679bfb5cc77f521cea15ed81,False,True
Alien Meow,ROUND_1,2,26,6,落地,Alien Meow/ROUND_1/09_落地/26.webp,306fa5c2f5cee61c894c2bd88f8f06240faf9f73dfb5455f730e3cf0cab39337,detected_or_manifest,512,260,252,231,5c6231d45be4862b5a1eaf3f285a7dd4553c3f59d33090b4a58f5191ec3e39d2,False,False
Alien Meow,ROUND_1,3,31,1,前衝蓄勢,Alien Meow/ROUND_1/10_前衝蓄勢/31.webp,3a31919d873941bd998457af380eb5b99b5353dce4d96f13c5d6e554e4476965,detected_or_manifest,12,1,239,217,9b831dae8aee7376994f2828441951f10af2d0eac8ccd4c757c89aadee12c727,False,False
Alien Meow,ROUND_1,3,34,4,後撤起手,Alien Meow/ROUND_1/13_後撤起手/34.webp,3a31919d873941bd998457af380eb5b99b5353dce4d96f13c5d6e554e4476965,detected_or_manifest,21,254,211,217,b591876f673081572868ac69cf1cc31d75cda270b15a4091fdd01a3fe06d61b1,False,False
Alien Meow,ROUND_1,3,35,5,後撤空中,Alien Meow/ROUND_1/14_後撤空中/35.webp,3a31919d873941bd998457af380eb5b99b5353dce4d96f13c5d6e554e4476965,detected_or_manifest,275,461,189,44,710d150c60e50a1a3a29239353c4fd3cffccccb08681737589e12606b6dd3ce7,False,False
Alien Meow,ROUND_1,3,36,6,後撤落地,Alien Meow/ROUND_1/15_後撤落地/36.webp,3a31919d873941bd998457af380eb5b99b5353dce4d96f13c5d6e554e4476965,detected_or_manifest,512,265,250,193,f6da5b079da34646e2c287462ed7f1659e7b2079282f63f31f12172eff021a87,False,False
Alien Meow,ROUND_1,5,51,1,重攻「水平掃描」,Alien Meow/ROUND_1/17_重攻「水平掃描」/51.webp,3e6b488ea21e5cfbebf2f1660f7232fd9e7d726614265ba27e26da8cd649e397,detected_or_manifest,19,0,221,256,7f7f2e8b4d62b46df454fa555049c7eec23aa35b1e147c331f850093e630273e,False,False
Alien Meow,ROUND_1,6,61,1,下段「地表斷訊脈衝」,Alien Meow/ROUND_1/18_下段「地表斷訊脈衝」/61.webp,e362c9f03d4186d7d3f68d9442ffe2b2f1a2074d8253a42d63f2fe794080f23c,detected_or_manifest,29,3,222,253,743068df49ff60d12da883d320b738d582aa3fdf5d986adb0aa0c1fc5e641b47,False,False
Alien Meow,ROUND_1,6,62,2,下段「地表斷訊脈衝」,Alien Meow/ROUND_1/18_下段「地表斷訊脈衝」/62.webp,e362c9f03d4186d7d3f68d9442ffe2b2f1a2074d8253a42d63f2fe794080f23c,detected_or_manifest,256,3,257,217,a82a034e64ee6e8daa2ca0c1d054d8f1f2dadc1a08febcc20b0044a9a1edda40,False,False
Alien Meow,ROUND_1,6,63,3,下段「地表斷訊脈衝」,Alien Meow/ROUND_1/18_下段「地表斷訊脈衝」/63.webp,e362c9f03d4186d7d3f68d9442ffe2b2f1a2074d8253a42d63f2fe794080f23c,detected_or_manifest,519,0,241,244,a59fc46d82f6899e3acb61854d2d532ae63eaaca5b6e121eef42d8813376ea65,False,False
Alien Meow,ROUND_1,6,66,6,下段「地表斷訊脈衝」,Alien Meow/ROUND_1/18_下段「地表斷訊脈衝」/66.webp,e362c9f03d4186d7d3f68d9442ffe2b2f1a2074d8253a42d63f2fe794080f23c,detected_or_manifest,516,261,229,236,e518174494199d93d2442b4d95aecbb1e0a9ee3f1227d0e3bb09d7fcea1a3766,False,False
Alien Meow,ROUND_1,7,71,1,空中攻擊「空域掃描墜擊」,Alien Meow/ROUND_1/19_空中攻擊「空域掃描墜擊」/71.webp,8dad18e1b81d591cd65311e82bcc0ace9073fb731dc023e9161279d65a8ba1d5,detected_or_manifest,28,11,224,221,bccc92a75b41cca81aba38719143cea0007aef4da165186d00a8c94911ac156a,False,False
Alien Meow,ROUND_1,7,72,2,空中攻擊「空域掃描墜擊」,Alien Meow/ROUND_1/19_空中攻擊「空域掃描墜擊」/72.webp,8dad18e1b81d591cd65311e82bcc0ace9073fb731dc023e9161279d65a8ba1d5,detected_or_manifest,260,33,251,212,78dc41cc07d84fafc24320ae4501a7f6bf91f9262e80ed586ee638fa7096dbd6,False,False
Alien Meow,ROUND_1,7,76,6,空中攻擊「空域掃描墜擊」,Alien Meow/ROUND_1/19_空中攻擊「空域掃描墜擊」/76.webp,8dad18e1b81d591cd65311e82bcc0ace9073fb731dc023e9161279d65a8ba1d5,detected_or_manifest,520,270,204,211,992d4a514b0a480acf9476151b3e2e34146b11fee2f565578a54bc04f8aa2500,False,False
Alien Meow,ROUND_2,1,12,2,投技「UFO 回收程序」,Alien Meow/ROUND_2/01_投技「UFO_回收程序」/12.webp,4e4533ac2ed257c9d6f8f4cb3be66ff00e86ccca6dc8aa896c63a2a6052f02c5,detected_or_manifest,256,0,256,384,e8d76499cee810a8d7d7e314c1c3ada0c405a7c169972303e2a9037f66b52bc8,False,False
Alien Meow,ROUND_2,1,16,6,投技「UFO 回收程序」,Alien Meow/ROUND_2/01_投技「UFO_回收程序」/16.webp,4e4533ac2ed257c9d6f8f4cb3be66ff00e86ccca6dc8aa896c63a2a6052f02c5,detected_or_manifest,516,388,233,314,be459e098e62b89843774e1fdcf3ed7c02f487b1678bdbe6e9f9b33ea2c1340c,False,False
Alien Meow,ROUND_2,9,91,1,最終「全頻率收尾／Full-Frequency Battlefield Scan Sweep」,Alien Meow/ROUND_2/51_最終「全頻率收尾_Full-Frequency_Battlefield_Scan_Sweep」/91.webp,7e81084e226e995c448a15b2ce57a922f63f53790c313141cb0e7aa60d88026a,detected_or_manifest,0,0,956,538,1d84aa4c62fc21db9b88fe0dde793be6a3136afac09a857142d07ee108f0f0d0,False,False
Doge,ROUND_1,1,13,3,Idle,Doge/ROUND_1/01_Idle/13.webp,6af38c442cff7544d3f27c2b3cded46f36a9d783d3f0f3cb537bc2eb20c9e252,detected_or_manifest,527,4,215,246,f5fee0b19b7678363a56d510c3668bd0ec9ea198e060a742f8196adf584f6996,False,False
Doge,ROUND_1,3,31,1,Light_Paw_Slap,Doge/ROUND_1/07_Light_Paw_Slap/31.webp,dd3b28b53c05df618825ec65ae5b1596c546fef68cbb1aac9b696cbaf4b2bd79,detected_or_manifest,28,4,189,245,5d26cb7a86d80d8ce4653beb2c334deb6346546a5e9949b4e404cab8147b468f,False,False
Doge,ROUND_1,3,33,3,Light_Paw_Slap,Doge/ROUND_1/07_Light_Paw_Slap/33.webp,dd3b28b53c05df618825ec65ae5b1596c546fef68cbb1aac9b696cbaf4b2bd79,detected_or_manifest,527,14,210,236,7a19e3f74bd6cb45d883f9e1daa69daeb86f28b91aaa8c8979924d299626b8b4,False,False
Doge,ROUND_1,5,51,1,Low_Lazy_Trip,Doge/ROUND_1/09_Low_Lazy_Trip/51.webp,045655d79b70d7f7f880062c463a815a145f8703487694147bba920767102bf7,detected_or_manifest,0,0,265,247,8ae9b29ea138702ceddbdf42ee359253d37f00c19f0bce3355c7dd2d857a810a,False,False
Doge,ROUND_1,5,52,2,Low_Lazy_Trip,Doge/ROUND_1/09_Low_Lazy_Trip/52.webp,045655d79b70d7f7f880062c463a815a145f8703487694147bba920767102bf7,detected_or_manifest,265,0,250,247,d9b4811c03b4570bc4207313f175a52d42d07bf2ce474ece591de4bcd201bf65,False,False
Doge,ROUND_1,5,53,3,Low_Lazy_Trip,Doge/ROUND_1/09_Low_Lazy_Trip/53.webp,045655d79b70d7f7f880062c463a815a145f8703487694147bba920767102bf7,detected_or_manifest,515,0,253,247,42743407776413869cd7c5132342ae7bc0a2480ae68e60cf7fab014e355f1fdc,False,False
Doge,ROUND_1,5,54,4,Low_Lazy_Trip,Doge/ROUND_1/09_Low_Lazy_Trip/54.webp,045655d79b70d7f7f880062c463a815a145f8703487694147bba920767102bf7,detected_or_manifest,0,247,265,265,6997a4c771bd18dcf76260b8efa76a391215c972fad23ce2f6d28c629411a11c,False,False
Doge,ROUND_1,5,55,5,Low_Lazy_Trip,Doge/ROUND_1/09_Low_Lazy_Trip/55.webp,045655d79b70d7f7f880062c463a815a145f8703487694147bba920767102bf7,detected_or_manifest,265,247,250,265,899ec024691a906670f269d13734b6ef81df365ed8baf4688a25c91dbbbd1473,False,False
Doge,ROUND_1,5,56,6,Low_Lazy_Trip,Doge/ROUND_1/09_Low_Lazy_Trip/56.webp,045655d79b70d7f7f880062c463a815a145f8703487694147bba920767102bf7,detected_or_manifest,515,247,253,265,aef90edb77f1496910863daa05052d62c11a05c95ac8e5067ff00b85ba26a160,False,False
Doge,ROUND_1,6,62,2,Air_Body_Splash,Doge/ROUND_1/10_Air_Body_Splash/62.webp,262b21aef2af4e19c6b563a5e505afdd85512c78046aaf042e5e419a0d65d62c,detected_or_manifest,305,47,209,177,1a83e0e545192d48ceed873e92ec752e5696d4a046c6c6e40111069c2f17ca33,False,False
Doge,ROUND_1,6,65,5,Air_Body_Splash,Doge/ROUND_1/10_Air_Body_Splash/65.webp,262b21aef2af4e19c6b563a5e505afdd85512c78046aaf042e5e419a0d65d62c,detected_or_manifest,379,274,31,23,bec4417d002e4b8cb07ef0e9837e5f6624b8e13ccb522150902c59f38a6b68b0,False,False
Doge,ROUND_1,8,82,2,Hitstun,Doge/ROUND_1/13_Hitstun/82.webp,7163d2f93936550ff058f77f84ebe51f39298747b0553e544d348c8e41d1d0ba,detected_or_manifest,294,7,175,235,e1f28836243cbb5a6be8575f4b23689047da306fc1af42bae40c818b3c15bd87,False,False
Doge,ROUND_1,8,83,3,Hitstun,Doge/ROUND_1/13_Hitstun/83.webp,7163d2f93936550ff058f77f84ebe51f39298747b0553e544d348c8e41d1d0ba,detected_or_manifest,528,4,218,252,a5ce6b5f34bdfd3a27c4713d70443ed61c7f077b919b10e70a71dc77d1b62fa6,False,False
Doge,ROUND_1,8,86,6,Hitstun,Doge/ROUND_1/13_Hitstun/86.webp,7163d2f93936550ff058f77f84ebe51f39298747b0553e544d348c8e41d1d0ba,detected_or_manifest,552,256,172,241,5dce256de39f9b1e9146da2ebe16fb7c33c5ce98de23ed1e3c55a2aa354d5af6,False,False
Doge,ROUND_1,9,96,6,Backstep,Doge/ROUND_1/15_Backstep/96.webp,12665fc21e379b75800625659cc933fb5cb55ec87c735571dbcef6bd7bee3b9b,detected_or_manifest,511,268,257,193,1d030fc27e7886733089a124078f3f03d8b191ac0e26a0c6b49da8eb0a2960d5,False,False
Doge,ROUND_2,1,13,3,Throw_Come_Here,Doge/ROUND_2/01_Throw_Come_Here/13.webp,4b0794ef6d04fca4bc65bfde31c883d98471e4f11d46d39a31369e53c54fa02e,detected_or_manifest,531,24,212,227,dd8dc04358a70cdfe353586b05a46dd3b4f71d3b5c531ec9e2908d85916bf6ce,False,False
Doge,ROUND_2,1,14,4,Throw_Come_Here,Doge/ROUND_2/01_Throw_Come_Here/14.webp,4b0794ef6d04fca4bc65bfde31c883d98471e4f11d46d39a31369e53c54fa02e,manual,14,282,252,203,d55d5ad16b10cac4c36cb0ce3d347ad94a90b11616205f8282429f29f45d0fd8,False,True
Doge,ROUND_2,2,23,3,Thrown_Knockdown_Getup_KO,Doge/ROUND_2/02_Thrown_Knockdown_Getup_KO/23.webp,a023beb253309535b46bc6693bef38e79835e66bab5ea45edb77a94d97320c5a,manual,520,112,248,188,79fc66363ca42b915a72bff152aff9602cd67f0adaf2914537d84d1c171c6164,False,True
Doge,ROUND_2,2,26,6,Thrown_Knockdown_Getup_KO,Doge/ROUND_2/02_Thrown_Knockdown_Getup_KO/26.webp,a023beb253309535b46bc6693bef38e79835e66bab5ea45edb77a94d97320c5a,manual,506,384,262,194,589604ad227cd125884005dfd81678f1827ef0ac0d5ed435900580b6d1eeadc9,False,True
YA鼠,ROUND_1,3,31,1,輕攻「那個…不好意思」,YA鼠/ROUND_1/07_輕攻「那個...不好意思」/31.webp,67cfdc1aeab3c184acefa37ca6ed4ce79d208baf3e9487f2fc04f1a2487e0496,detected_or_manifest,0,0,256,256,b82b17b63f7526922119a9dcd10c9c8613cb950e8afe6a104b0f8b0936813e9a,False,False
YA鼠,ROUND_1,3,32,2,輕攻「那個…不好意思」,YA鼠/ROUND_1/07_輕攻「那個...不好意思」/32.webp,67cfdc1aeab3c184acefa37ca6ed4ce79d208baf3e9487f2fc04f1a2487e0496,detected_or_manifest,256,0,256,256,8972a9bfbec18be09e5f20c20a109a766b17819d66947d277c079949e9e901d1,False,False
YA鼠,ROUND_1,4,41,1,重攻「不好意思借過！」,YA鼠/ROUND_1/08_重攻「不好意思借過！」/41.webp,8b79135cf98588ca27d05d7ff20162fd6d356890716f88491734dfddedb2defe,detected_or_manifest,24,15,219,211,ab62367227ffc41141c8ee635bb3a34909ee9ffe3ffc3ff3506570bdde879bd1,False,False
YA鼠,ROUND_1,9,91,1,標準圓眼鏡,YA鼠/ROUND_1/23_標準圓眼鏡/91.webp,7a63b450c221c689693a7f29cbf47833925c02c93b4a7e01dc29eeb883f63665,detected_or_manifest,0,0,256,239,716680503346616e40c4393c2f137f2782ccd40255aa54c3d7c3e8583e908e2b,False,False
YA鼠,ROUND_1,9,92,2,歪掉的眼鏡,YA鼠/ROUND_1/24_歪掉的眼鏡/92.webp,7a63b450c221c689693a7f29cbf47833925c02c93b4a7e01dc29eeb883f63665,detected_or_manifest,256,0,291,239,938eb27ef81f7fdd4d2bfa331f7553534eafaa09301fdf4c3e3fa6102dcd24f5,False,False
YA鼠,ROUND_1,9,93,3,手機正面,YA鼠/ROUND_1/25_手機正面/93.webp,7a63b450c221c689693a7f29cbf47833925c02c93b4a7e01dc29eeb883f63665,detected_or_manifest,547,0,221,239,d149d7694c2094605c15bf8c4632c1511eab60cb72d1dfe958a7b7ab08f45f64,False,False
YA鼠,ROUND_1,9,94,4,手機相機面,YA鼠/ROUND_1/26_手機相機面/94.webp,7a63b450c221c689693a7f29cbf47833925c02c93b4a7e01dc29eeb883f63665,detected_or_manifest,0,239,256,273,c08e11aa551693546e7acc52c7788fe5caadd1b6bad9ac66ce8d471889e666f6,False,False
YA鼠,ROUND_1,9,95,5,汗滴素材,YA鼠/ROUND_1/27_汗滴素材/95.webp,7a63b450c221c689693a7f29cbf47833925c02c93b4a7e01dc29eeb883f63665,detected_or_manifest,256,239,291,273,bd7e51a57b1167d1c5c079369eebf62133a23b9cc26fdd0ef047d1e8f276cb84,False,False
YA鼠,ROUND_1,9,96,6,緊張抖動素材,YA鼠/ROUND_1/28_緊張抖動素材/96.webp,7a63b450c221c689693a7f29cbf47833925c02c93b4a7e01dc29eeb883f63665,detected_or_manifest,547,239,221,273,99fc51f349d49e2795f8ddb10c7e5e1ce542c9dcb7c73c146477da6009286020,False,False
YA鼠,ROUND_2,1,12,2,前衝,YA鼠/ROUND_2/01_前衝/12.webp,0bcc4db15dd6c200e003ef18df683fc66ac2066d53b017ebc553bc336a26ea66,manual,264,0,256,256,c2f685ad85d48561fac3798c7c30e53e1a5c345e3cb3ff876cdd1f03380228d9,False,True
YA鼠,ROUND_2,1,14,4,後撤,YA鼠/ROUND_2/02_後撤/14.webp,0bcc4db15dd6c200e003ef18df683fc66ac2066d53b017ebc553bc336a26ea66,detected_or_manifest,32,272,224,224,c047c2509b5db695880312d66735ebc278890beaa583e990944c6ec558c60834,False,False
YA鼠,ROUND_2,1,15,5,後撤,YA鼠/ROUND_2/02_後撤/15.webp,0bcc4db15dd6c200e003ef18df683fc66ac2066d53b017ebc553bc336a26ea66,detected_or_manifest,256,256,256,256,f9843e41e942bf76e68703c648134ec9abf41e77ab9627581f47f476689daf5e,False,False
YA鼠,ROUND_2,2,24,4,投技「你離我太近了！」,YA鼠/ROUND_2/03_投技「你離我太近了！」/24.webp,f4d1e28fa179f67dafa63c5922f658118fa92cf1129ff5944f5394785c0e4a3f,detected_or_manifest,26,257,226,251,bb4d8d8d0d29eed567823dd7beca1615a30ac6213a1f54efe1bf19b14f11807b,False,False
YA鼠,ROUND_2,3,31,1,強擊失衡,YA鼠/ROUND_2/04_強擊失衡/31.webp,6b60722e7d95a1bce0c4c3456d3a60c8af5d5742130da00f6e21eaccdea6ea85,detected_or_manifest,0,22,250,233,05df7e1f982d2dc01146a9719781c2209643b047f0fed7aa8b0a3557bd67999d,False,False
YA鼠,ROUND_2,3,33,3,下墜,YA鼠/ROUND_2/06_下墜/33.webp,6b60722e7d95a1bce0c4c3456d3a60c8af5d5742130da00f6e21eaccdea6ea85,detected_or_manifest,520,24,237,231,59a2901ead4ed5b229856839a826e40555b3a46816ceac48a0069129d2bf635b,False,False
YA鼠,ROUND_2,3,37,7,起身前段,YA鼠/ROUND_2/10_起身前段/37.webp,6b60722e7d95a1bce0c4c3456d3a60c8af5d5742130da00f6e21eaccdea6ea85,detected_or_manifest,0,513,257,212,ef16b087e0bb5642cd2ce331482459b4abc181e361ab0b552abcf6639da61e4a,False,False
Oh fuxking 天婦羅尬哩涼,ROUND_1,1,13,3,待機,Oh fuxking 天婦羅尬哩涼/ROUND_1/01_待機/13.webp,dd5c53ded8e5934f11af429c2439c7d6faa1f534669868768ad8b46e1bcda7ed,detected_or_manifest,544,12,169,237,9c0c8e25969180bb6a1e9995c76625d08563b28fa3e3414579bdcc205f944881,False,False
Oh fuxking 天婦羅尬哩涼,ROUND_1,2,21,1,後走,Oh fuxking 天婦羅尬哩涼/ROUND_1/03_後走/21.webp,b3b22454c1134f333b2756c634b5d4d6123d35b72e885e1f501c5f33be4eb5bf,detected_or_manifest,0,28,244,224,648a1884a75254ba9ecad45a8646cea7eb51ff04046a61f270cb20837d6c7ddb,False,False
Oh fuxking 天婦羅尬哩涼,ROUND_1,2,22,2,後走,Oh fuxking 天婦羅尬哩涼/ROUND_1/03_後走/22.webp,b3b22454c1134f333b2756c634b5d4d6123d35b72e885e1f501c5f33be4eb5bf,manual,302,11,209,239,40f44b51871c42549bc2bfda12f79e69548878f7edccbbee119dbcfe4e8ede70,False,True
